诗词,作者,朝代
山园屡种杨梅皆不成枇杷一株独结实可爱戏作,陆游,宋代
贺新郎·云卧衣裳冷,辛弃疾,宋代
一鹭图,刘珝,明代
咏槐,冯清,明代
巨鱼纵大壑,钱起,唐代
感遇诗三十八首·其十二,陈子昂,唐代
鸣雁行,鲍溶,唐代
咏弓,章孝标,唐代
羊,李峤,唐代
有木诗八首·其八,白居易,唐代
杂诗七首·其二,曹植,两汉
客中闻雁,黄仲则,清代
咏柳,杨慎,明代
枸杞,苏轼,宋代
杖铭,刘向,两汉
汴京纪事二十首·其十六,刘子翚,宋代
惜分飞·柳絮,刘学箕,宋代
旅次寄湖南张郎中,戴叔伦,唐代
有木诗八首·其八,白居易,唐代
次韵昌叔咏尘,王安石,宋代
竹轩记,张九成,宋代
双燕,范成大,宋代
红梅,谢宗可,元代
水仙子·咏竹,马谦斋,元代
